Country	CountryCode	Region	Continent	GDP	GDP_perCapita	lifeExpectancy
Croatia	HRV	Europe | South & East	Europe	59643818182	11592.91	77.2756
Cuba	CUB	America | North & Central	Americas	64328220000	7650.23	79.5464
Cyprus	CYP	Asia | South & West	Asia	23132450331	23075.11	80.3071
Czech Republic	CZE	Europe | South & East	Europe	2.07016E+11	17556.92	79.4732
Denmark	DNK	Europe | North & West	Europe	3.19812E+11	53014.64	81.1
Djibouti	DJI	Africa | North & East	Africa	1128611700	1945.12	62.2857
Dominican Republic	DOM	America | North & Central	Americas	53042943731	6468.47	73.6767
Ecuador	ECU	America | South	Americas	69555367000	6205.06	76.1029
"Egypt, Arab Rep."	EGY	Africa | North & East	Africa	2.18888E+11	3614.75	71.317
El Salvador	SLV	America | North & Central	Americas	21418300000	4219.35	73.0011
Equatorial Guinea	GNQ	Africa | South & West	Africa	11582917790	14439.59	57.9634
Eritrea	ERI	Africa | North & East	Africa	2117039511	0	64.1009
Estonia	EST	Europe | North & West	Europe	19479012423	17084.52	77.1317
Ethiopia	ETH	Africa | North & East	Africa	29933790334	619.17	64.578
Fiji	FJI	Oceania	Oceania	3140508836	4960.52	70.2563
Finland	FIN	Europe | North & West	Europe	2.478E+11	42403.47	81.3854
France	FRA	Europe | North & West	Europe	2.64684E+12	36352.48	82.6707
Gabon	GAB	Africa | South & West	Africa	14569527125	8266.45	64.8903
"Gambia, The"	GMB	Africa | South & West	Africa	951827284.9	471.54	60.4677
Georgia	GEO	Asia | South & West	Asia	11638536834	3757.06	74.8174
Germany	DEU	Europe | North & West	Europe	3.41201E+12	41178.46	81.0902
Ghana	GHA	Africa | South & West	Africa	32174839713	1369.7	61.4917
Greece	GRC	Europe | South & East	Europe	2.99598E+11	18006.97	81.5878
Grenada	GRD	America | North & Central	Americas	771015875.3	9212.02	73.523
Guatemala	GTM	America | North & Central	Americas	41337958252	3903.48	71.9565
Guinea	GIN	Africa | South & West	Africa	4735956476	531.32	59.1934
Guinea-Bissau	GNB	Africa | South & West	Africa	847491366.9	572.99	55.4673
Guyana	GUY	America | South	Americas	2259288396	4127.35	66.5075
Haiti	HTI	America | North & Central	Americas	6622541529	818.34	63.0738
Honduras	HND	America | North & Central	Americas	15839344592	2528.89	73.3331
"Hong Kong SAR, China"	HKG	Asia | East & Central	Asia	2.28638E+11	42327.84	84.278
Hungary	HUN	Europe | South & East	Europe	1.29586E+11	12365.63	75.961
Iceland	ISL	Europe | North & West	Europe	13261035517	50722	82.861
India	IND	Asia | South & West	Asia	1.70846E+12	1593.26	68.3486
Indonesia	IDN	Asia | East & Central	Asia	7.09191E+11	3346.49	69.0717
"Iran, Islamic Rep."	IRN	Asia | South & West	Asia	4.22568E+11	0	75.5913
Iraq	IRQ	Asia | South & West	Asia	1.38517E+11	4943.76	69.5903
Ireland	IRL	Europe | North & West	Europe	2.18435E+11	61093.69	81.5024
Israel	ISR	Asia | South & West	Asia	2.32908E+11	35729.37	82.0512
Italy	ITA	Europe | South & East	Europe	2.12662E+12	29993.08	83.4902
Jamaica	JAM	America | North & Central	Americas	13230844040	5105.79	75.7982
Japan	JPN	Asia | East & Central	Asia	5.49539E+12	34523.7	83.8437
Jordan	JOR	Asia | South & West	Asia	26425379437	4940.05	74.2033
Kazakhstan	KAZ	Asia | East & Central	Asia	1.48047E+11	10509.98	72
Kenya	KEN	Africa | North & East	Africa	40000138831	1376.71	62.1337
Kiribati	KIR	Oceania	Oceania	150431113.6	1424.28	66.1479
"Korea, Rep."	KOR	Asia | East & Central	Asia	1.0945E+12	27221.52	82.1559
Kuwait	KWT	Asia | South & West	Asia	1.15429E+11	29300.58	74.6979
Kyrgyz Republic	KGZ	Asia | East & Central	Asia	4794357795	1103.23	70.6512
Lao PDR	LAO	Asia | East & Central	Asia	7181441152	1818.44	66.5399
Latvia	LVA	Europe | North & West	Europe	24009680460	13654.85	74.1244
Lebanon	LBN	Asia | South & West	Asia	38009950249	8047.65	79.6286
Lesotho	LSO	Africa | South & West	Africa	2175692207	1066.99	49.9612
Liberia	LBR	Africa | South & West	Africa	1292696476	455.87	61.161
Libya	LBY	Africa | North & East	Africa	74755288917	0	71.8263
Lithuania	LTU	Europe | North & West	Europe	36709511568	14251.78	75.1195
